KEY,face,angry,disgust,fear,happy,neutral,sad,surprise,predicted_emotion
1_10004_u,face_00.jpg,0.0,0.04889291897416115,0.009124282747507095,0.0024083396419882774,0.5381746292114258,0.3737248182296753,0.0009938551811501384,neutral
1_10004_u,face_01.jpg,0.0,0.004015108570456505,0.0010489131091162562,0.0013235025107860565,0.03062547743320465,0.960266649723053,0.0006723034312017262,sad
1_10004_u,face_02.jpg,0.0,0.0036752026062458754,0.001659418921917677,0.013043126091361046,0.19099217653274536,0.7870690822601318,0.0014373617013916373,sad
1_10004_u,face_03.jpg,0.0,0.048004407435655594,0.0012541110627353191,0.04259022697806358,0.5539945363998413,0.3248688876628876,0.02049211598932743,neutral
1_10004_u,face_04.jpg,0.0,0.002770938677713275,0.002247176133096218,0.005111448001116514,0.06169300898909569,0.9246599078178406,0.002389805857092142,sad
1_10004_u,face_05.jpg,0.0,0.005829451140016317,0.00232144957408309,0.01674066297709942,0.30100178718566895,0.6693854928016663,0.0024107920471578836,sad
1_10004_u,face_06.jpg,0.0,0.12119502574205399,0.0007188975578173995,0.039256129413843155,0.5281509757041931,0.281971275806427,0.003342634066939354,neutral
1_10004_u,face_07.jpg,0.0,0.13880223035812378,0.002506256802007556,0.012417015619575977,0.441954106092453,0.3669399917125702,0.018579985946416855,neutral
1_10004_u,face_08.jpg,0.0,0.10614912211894989,0.0026284493505954742,0.009704208001494408,0.42961961030960083,0.41331690549850464,0.005265056621283293,neutral
1_10004_u,face_09.jpg,0.0,0.03794407472014427,0.0035381014458835125,0.0032234019599854946,0.4720693528652191,0.45913276076316833,0.005716407205909491,neutral
1_10009_u,face_00.jpg,0.0,0.0032707226928323507,0.0009295294876210392,0.5473189949989319,0.13894368708133698,0.3066359758377075,0.001451223506592214,happy
1_10009_u,face_01.jpg,0.0,0.0048620449379086494,0.0009179916232824326,0.5399351716041565,0.2522181570529938,0.19784972071647644,0.002969098277390003,happy
1_10009_u,face_02.jpg,0.0,0.012480358593165874,0.0013847658410668373,0.23059119284152985,0.4539450705051422,0.29350826144218445,0.005228155292570591,neutral
1_10009_u,face_03.jpg,0.0,0.011816609650850296,0.0006388431065715849,0.15199653804302216,0.7870703935623169,0.04385281354188919,0.001746639027260244,neutral
1_10009_u,face_04.jpg,0.0,0.0028851511888206005,0.0006594597361981869,0.9841795563697815,0.004413188900798559,0.0061660222709178925,0.0011140845017507672,happy
1_10009_u,face_05.jpg,0.0,0.0008954610675573349,0.0004521784430835396,0.993594229221344,0.001844977610744536,0.002308519324287772,0.0006395069067366421,happy
1_10009_u,face_06.jpg,0.0,0.004970098379999399,0.002323456574231386,0.01024828664958477,0.2217247635126114,0.7581755518913269,0.0008700656471773982,sad
1_10009_u,face_07.jpg,0.0,0.004665701650083065,0.0038941926322877407,0.04583538696169853,0.3641350567340851,0.5780136585235596,0.0014373125741258264,sad
1_10009_u,face_08.jpg,0.0,0.012170250527560711,0.0012609793338924646,0.08871946483850479,0.63084876537323,0.25946417450904846,0.0036748861894011497,neutral
1_10009_u,face_09.jpg,0.0,0.00896085612475872,0.001069430960342288,0.07239197939634323,0.7306910157203674,0.18133947253227234,0.002246336778625846,neutral
