KEY,n_faces,visual_valence,angry,disgust,fear,happy,neutral,sad,surprise,emocao_predominante
1_10004_u,10,-0.595984324812889,0.0,0.051727848034352,0.0027047056704759,0.01458180611953134,0.3548275660723447,0.5561335772275925,0.00613003180478694,sad
1_10009_u,10,0.09569885477831135,0.0,0.00669772548135365,0.00135308277385769,0.3664810800924897,0.3585835076053627,0.262731417058967,0.0021377308701630198,happy
1_1001_u,10,-0.1247453571355435,0.0,0.0776505754794925,0.00313408836373123,0.3429080694913864,0.15165736426133658,0.3868687627837062,0.027838209923356737,sad
1_1003_u,10,-0.16345926147187123,0.0,0.027092529553919987,0.02027141113067043,0.04147099908441299,0.6650333926081657,0.1575663198716938,0.08406839128583664,neutral
1_10190_u,10,-0.06927509476663536,0.0,0.03016226477921006,0.00100423964904616,0.1786277460865676,0.5553464293479919,0.21673633642494675,0.011765799488057341,neutral
1_10462_u,10,-0.2609295184374786,0.0,0.07946146922186012,0.041418168635573197,0.05593149752821769,0.3458059592638164,0.19598137810826297,0.25404975512064987,neutral
1_10495_u,10,-0.2606317406956804,0.0,0.04307605247013267,0.00718019846535749,0.02595847677439448,0.6031187169253827,0.23633396653458472,0.04488885465543713,neutral
1_10496_u,10,-0.18374313363747197,0.0,0.052229855302721215,0.00374110556149384,0.02036231211386616,0.6591825462877751,0.14813448488712305,0.08525361705687821,neutral
1_105_u,10,0.14208079026720966,0.0,0.01913695926778013,0.00988259865262075,0.256508006202057,0.5608254134654999,0.08540765801444647,0.05428063244908112,neutral
1_10748_u,4,0.37070453484921034,0.0,0.0045776159531669,0.00210664969199565,0.45019649248570204,0.461115621146746,0.07280769199132918,0.006587624928215475,neutral
1_10797_u,10,-0.34498640967067323,0.0,0.15865089269354934,0.0026915669674053297,0.05899722683243449,0.4456562260631472,0.24264117684215303,0.038298912922618875,neutral
1_10810_u,10,-0.06631079140788632,0.0,0.06292186494683842,0.01240853056515328,0.1795925080310553,0.38526402041316027,0.1705729039269499,0.10057834430481302,neutral
1_10829_u,10,-0.17064578827412324,0.0,0.08346520718187089,0.00159761091636024,0.045336832758039194,0.657359953224659,0.1309198029339313,0.06316589355701575,neutral
1_10849_u,10,0.1438514529232635,0.0,0.10779934422462242,0.0009717831475427,0.3394425249658525,0.4469957422930747,0.08681994467042382,0.014910326740937261,neutral
1_10853_u,10,-0.2117861137987346,0.0,0.03982902746647591,0.01958423704199953,0.10863057102542366,0.5373742043972015,0.26100342031568285,0.027707408217247532,neutral
1_10857_u,10,0.6019108911277729,0.0,0.00797787388291902,0.00076250330457691,0.7815356621984393,0.03066832890908695,0.1708843938831705,0.00522360602917611,happy
1_10859_u,10,0.10458465539268227,0.0,0.09936767376493659,0.00642661571619098,0.35728910751640797,0.27509120572358364,0.1469101626425981,0.10403332514688371,happy
1_10890_u,10,-0.33149257042678065,0.0,0.049973662535194266,0.0037255070405080295,0.1369174173800274,0.35288130631670356,0.4147108182311058,0.022134375170571676,sad
1_10977_u,10,0.05515798092383204,0.0,0.03216348984278736,0.004812590945220961,0.18725358794908967,0.6030012864619494,0.09511952623724931,0.06555452595930542,neutral
1_11006_u,10,-0.38558957088389423,0.0,0.03250611536204812,0.06377078274381343,0.0720849793637171,0.3817040193360299,0.3613976521417498,0.07649335326859724,neutral
1_11021_u,10,-0.17244844287633887,0.0,0.07474869638681407,0.00241076814709226,0.08405589679023247,0.5312590301036835,0.179344875132665,0.1190521481679752,neutral
1_11042_u,10,0.08093959742691377,0.0,0.08786775553598997,0.01706440540729086,0.3577529587433673,0.20464336890727278,0.17188120037317273,0.03346233400516206,happy
1_11046_u,10,-0.37878080197842784,0.0,0.12779280771501358,0.009564521920401529,0.01864673900417977,0.4010677695274353,0.26007021134719255,0.16693323389627035,neutral
1_11051_u,10,-0.23881994513794771,0.0,0.08808971727266904,0.00306187416426833,0.16717891027219592,0.3464086577296257,0.3148472639732063,0.06391989104449745,neutral
1_11055_u,10,-0.21165595613274482,0.0,0.04941595095442604,0.00508759470976652,0.21169240453746166,0.31708970563486216,0.3688448150060139,0.037949238051078235,sad
1_11098_u,9,0.2709322609589436,0.0,0.036212444822821294,0.0036989709608152782,0.4456317043966717,0.3579029560916953,0.13478802765409148,0.012071465678875189,happy
1_11120_u,10,-0.276645764519344,0.0,0.0817271118983626,0.00610516557644581,0.04006076345685864,0.5926179870963096,0.22887425050139423,0.034977037028875155,neutral
1_11177_u,10,-0.4016613263520411,0.0,0.0188190288841724,0.00251686981646338,0.13513119630515572,0.31022193841636175,0.5154566239565611,0.004229427117388629,sad
1_11201_u,10,-0.11164457340346408,0.0,0.11557867359369992,0.00198430277960137,0.05325590521097179,0.7588163614273071,0.04733750224113459,0.00732133706333111,neutral
1_11224_u,10,-0.19549719625210846,0.0,0.08715328606776891,0.050259958967217175,0.18581618270836767,0.2951954996213317,0.2439001339254901,0.12956561698229047,neutral
1_11232_u,10,0.9007789196279192,0.0,0.00781561881594822,0.00073315203844681,0.9210214495658875,0.01852374720619987,0.01169375908357319,0.03756439710559784,happy
1_11236_u,10,-0.17440375200822006,0.0,0.02934844531118865,0.00802073617815034,0.07271540975198146,0.6079312518239022,0.20974998027086253,0.06909362009027967,neutral
